scope,metric,pearson_raw,pearson_anomaly,spearman_raw,months,analysis_start,analysis_end
Eastern Samar,shipments,-0.46253704001949275,-0.2727974484949813,-0.4797648074279138,60,2021-01-04,2025-12-22
Eastern Samar,volume_mt,-0.4589883396836526,-0.2673315824870314,-0.4753747730359999,60,2021-01-04,2025-12-22
Other-Check,shipments,0.1235536081839199,0.09560564195888085,0.17671618015396037,60,2021-01-04,2025-12-22
Other-Check,volume_mt,0.1309099263488919,0.10062392984120468,0.1837102706434932,60,2021-01-04,2025-12-22
Palawan,shipments,-0.11451259257528587,0.0745504723636527,-0.12319723698850002,60,2021-01-04,2025-12-22
Palawan,volume_mt,-0.1043811662144264,0.08962644962078466,-0.118089998483173,60,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,-0.5194832526820468,-0.046000954069915154,-0.5506514180558919,60,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,-0.5143883263837625,-0.026988463229392707,-0.5377604890247292,60,2021-01-04,2025-12-22
Tawi-Tawi,shipments,0.018061969991295387,0.09526656139854524,0.013543215844191403,60,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,0.018728753735988365,0.09084073125195426,-0.007169056363188112,60,2021-01-04,2025-12-22
Zambales-Luzon,shipments,-0.6899936979171278,-0.11683755338966055,-0.6743748817994901,60,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,-0.6886823744773437,-0.11186466965964965,-0.6762090311201023,60,2021-01-04,2025-12-22
Philippines weighted,shipments,-0.42000185523704603,-0.042195074340954056,-0.38663869617507335,60,2021-01-04,2025-12-22
Philippines weighted,volume_mt,-0.4144634792856387,-0.02954596813661815,-0.3756043345373716,60,2021-01-04,2025-12-22
